source_url,source_type,title,material_id,reported_active_for_co2rr,download_url,original_format,local_filename,status,notes
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=--EUhaupTIHoJvl79Wj3R94u2-Mn,Nature Nanocluster DB,QCD Pt6 (6 atoms),QCD_--EUhaupTIHoJvl79Wj3R94u2-Mn,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/--EUhaupTIHoJvl79Wj3R94u2-Mn/archive,NOMAD_archive,nanocluster_Pt6_6atom.cif,downloaded_converted,QCD DFT PBE Pt6 6atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=1AWE-lkvr3Fq4SlD_YrEQgmXzMA4,Nature Nanocluster DB,QCD Pt7 (7 atoms),QCD_1AWE-lkvr3Fq4SlD_YrEQgmXzMA4,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/1AWE-lkvr3Fq4SlD_YrEQgmXzMA4/archive,NOMAD_archive,nanocluster_Pt7_7atom.cif,downloaded_converted,QCD DFT PBE Pt7 7atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=5bloeGFqGvD-RR5Waxels6tA-pdN,Nature Nanocluster DB,QCD Pt8 (8 atoms),QCD_5bloeGFqGvD-RR5Waxels6tA-pdN,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/5bloeGFqGvD-RR5Waxels6tA-pdN/archive,NOMAD_archive,nanocluster_Pt8_8atom.cif,downloaded_converted,QCD DFT PBE Pt8 8atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-0YYXl4lvpu-moS5oxzg85fuJ_Iz,Nature Nanocluster DB,QCD Pt9 (9 atoms),QCD_-0YYXl4lvpu-moS5oxzg85fuJ_Iz,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-0YYXl4lvpu-moS5oxzg85fuJ_Iz/archive,NOMAD_archive,nanocluster_Pt9_9atom.cif,downloaded_converted,QCD DFT PBE Pt9 9atom cluster. Manna Sci Data 2023.
,ioChem-BD,,nanocluster,yes,,CONTCAR,nanocluster_Rh10_10atom.cif,downloaded_converted,Pre-existing file
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=2a3UjMzJVQT-UuWklvGQFOKTH0Ps,Nature Nanocluster DB,QCD Rh13 (13 atoms),QCD_2a3UjMzJVQT-UuWklvGQFOKTH0Ps,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/2a3UjMzJVQT-UuWklvGQFOKTH0Ps/archive,NOMAD_archive,nanocluster_Rh13_13atom.cif,downloaded_converted,QCD DFT PBE Rh13 13atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=59jdIwpeaR8BguBQTxyLmLetpR1m,Nature Nanocluster DB,QCD Rh19 (19 atoms),QCD_59jdIwpeaR8BguBQTxyLmLetpR1m,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/59jdIwpeaR8BguBQTxyLmLetpR1m/archive,NOMAD_archive,nanocluster_Rh19_19atom.cif,downloaded_converted,QCD DFT PBE Rh19 19atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=7fDcBTQI-WS7QI9gqJyhwsNGp7c_,Nature Nanocluster DB,QCD Rh23 (23 atoms),QCD_7fDcBTQI-WS7QI9gqJyhwsNGp7c_,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/7fDcBTQI-WS7QI9gqJyhwsNGp7c_/archive,NOMAD_archive,nanocluster_Rh23_23atom.cif,downloaded_converted,QCD DFT PBE Rh23 23atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=1XiK-jgGrQVCyZNAqYzX0VSsrgYi,Nature Nanocluster DB,QCD Rh38 (38 atoms),QCD_1XiK-jgGrQVCyZNAqYzX0VSsrgYi,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/1XiK-jgGrQVCyZNAqYzX0VSsrgYi/archive,NOMAD_archive,nanocluster_Rh38_38atom.cif,downloaded_converted,QCD DFT PBE Rh38 38atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=C1vpJYZsn1zQxlEr-Bh4sBIneOTe,Nature Nanocluster DB,QCD Rh3 (3 atoms),QCD_C1vpJYZsn1zQxlEr-Bh4sBIneOTe,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/C1vpJYZsn1zQxlEr-Bh4sBIneOTe/archive,NOMAD_archive,nanocluster_Rh3_3atom.cif,downloaded_converted,QCD DFT PBE Rh3 3atom cluster. Manna Sci Data 2023.
