filename,n_atoms,composition,metal_score,d_band_proxy,active_site_score,size_score,en_score,intermediate_score,surface_ratio,total_score,label,error
zenodo_10679574_Sc_cont_98.cif,74,C1 Cu71 O1 Sc1,0.7736,0.8605,0.25,0.9751,1.0,0.0,0.4865,56.75,uncertain,
zenodo_10679574_Sc_cont_99.cif,74,C1 Cu71 O1 Sc1,0.7736,0.8615,0.25,0.9751,1.0,0.5,0.4865,66.76,likely_active,
zenodo_10679574_Se_cont_100.cif,74,C1 Cu71 O1 Se1,0.7833,0.8678,0.2535,0.9769,1.0,0.0,0.4865,57.12,uncertain,
zenodo_10679574_Se_cont_101.cif,74,C1 Cu71 O1 Se1,0.7833,0.8667,0.2535,0.9769,1.0,0.0,0.4865,57.1,uncertain,
zenodo_10679574_Se_cont_18.cif,74,C1 Cu71 O1 Se1,0.7833,0.8608,0.2394,0.9769,1.0,0.0,0.4595,56.53,uncertain,
zenodo_10679574_Se_cont_19.cif,74,C1 Cu71 O1 Se1,0.7833,0.8612,0.2394,0.9769,1.0,0.0,0.4595,56.54,uncertain,
zenodo_10679574_Se_cont_20.cif,74,C1 Cu71 O1 Se1,0.7833,0.8612,0.2394,0.9769,1.0,0.0,0.4595,56.54,uncertain,
zenodo_10679574_Se_cont_21.cif,74,C1 Cu71 O1 Se1,0.7833,0.8615,0.2394,0.9769,1.0,0.0,0.4595,56.54,uncertain,
zenodo_10679574_Se_cont_3.cif,38,C1 Cu35 O1 Se1,0.7833,0.8997,0.4857,0.9755,1.0,0.0,0.8947,65.15,likely_active,
zenodo_10679574_Se_cont_31.cif,42,C1 Cu39 O1 Se1,0.7833,0.8701,0.3846,0.988,1.0,0.0,0.7143,61.51,likely_active,
zenodo_10679574_Se_cont_32.cif,42,C1 Cu39 O1 Se1,0.7833,0.8762,0.3846,0.988,1.0,0.0,0.7143,61.6,likely_active,
zenodo_10679574_Se_cont_33.cif,42,C1 Cu39 O1 Se1,0.7833,0.8758,0.3846,0.988,1.0,0.0,0.7143,61.59,likely_active,
zenodo_10679574_Se_cont_34.cif,42,C1 Cu39 O1 Se1,0.7833,0.8765,0.3846,0.988,1.0,0.0,0.7143,61.61,likely_active,
zenodo_10679574_Se_cont_35.cif,42,C1 Cu39 O1 Se1,0.7833,0.8808,0.4103,0.988,1.0,0.0,0.7619,62.53,likely_active,
zenodo_10679574_Se_cont_36.cif,42,C1 Cu39 O1 Se1,0.7833,0.8728,0.4103,0.988,1.0,0.0,0.7619,62.41,likely_active,
zenodo_10679574_Se_cont_37.cif,42,C1 Cu39 O1 Se1,0.7833,0.8728,0.4103,0.988,1.0,0.0,0.7619,62.41,likely_active,
zenodo_10679574_Se_cont_38.cif,42,C1 Cu39 O1 Se1,0.7833,0.8689,0.359,0.988,1.0,0.0,0.6667,60.63,likely_active,
zenodo_10679574_Se_cont_39.cif,42,C1 Cu39 O1 Se1,0.7833,0.8765,0.359,0.988,1.0,0.5,0.6667,70.75,likely_active,
zenodo_10679574_Se_cont_4.cif,38,C1 Cu35 O1 Se1,0.7833,0.901,0.4857,0.9755,1.0,0.0,0.8947,65.17,likely_active,
zenodo_10679574_Se_cont_40.cif,42,C1 Cu39 O1 Se1,0.7833,0.8689,0.359,0.988,1.0,0.5,0.6667,70.63,likely_active,
zenodo_10679574_Se_cont_41.cif,42,C1 Cu39 O1 Se1,0.7833,0.8781,0.3846,0.988,1.0,0.0,0.7143,61.63,likely_active,
zenodo_10679574_Se_cont_42.cif,42,C1 Cu39 O1 Se1,0.7833,0.8808,0.4103,0.988,1.0,0.0,0.7619,62.53,likely_active,
zenodo_10679574_Se_cont_43.cif,42,C1 Cu39 O1 Se1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Se_cont_44.cif,42,C1 Cu39 O1 Se1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Se_cont_45.cif,42,C1 Cu39 O1 Se1,0.7833,0.8689,0.359,0.988,1.0,0.5,0.6667,70.63,likely_active,
zenodo_10679574_Se_cont_46.cif,42,C1 Cu39 O1 Se1,0.7833,0.8781,0.3846,0.988,1.0,0.0,0.7143,61.63,likely_active,
zenodo_10679574_Se_cont_47.cif,42,C1 Cu39 O1 Se1,0.7833,0.8689,0.359,0.988,1.0,0.5,0.6667,70.63,likely_active,
zenodo_10679574_Se_cont_48.cif,42,C1 Cu39 O1 Se1,0.7833,0.8751,0.359,0.988,1.0,0.0,0.6667,60.72,likely_active,
zenodo_10679574_Se_cont_49.cif,42,C1 Cu39 O1 Se1,0.7833,0.8831,0.4103,0.988,1.0,0.0,0.7619,62.57,likely_active,
zenodo_10679574_Se_cont_5.cif,38,C1 Cu35 O1 Se1,0.7833,0.9022,0.4857,0.9755,1.0,0.0,0.8947,65.19,likely_active,
zenodo_10679574_Se_cont_50.cif,42,C1 Cu39 O1 Se1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Se_cont_51.cif,42,C1 Cu39 O1 Se1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Se_cont_52.cif,42,C1 Cu39 O1 Se1,0.7833,0.8701,0.3846,0.988,1.0,0.0,0.7143,61.51,likely_active,
zenodo_10679574_Se_cont_53.cif,42,C1 Cu39 O1 Se1,0.7833,0.8753,0.359,0.988,1.0,0.5,0.6667,70.73,likely_active,
zenodo_10679574_Se_cont_54.cif,42,C1 Cu39 O1 Se1,0.7833,0.8674,0.3333,0.988,1.0,0.0,0.619,59.75,uncertain,
zenodo_10679574_Se_cont_55.cif,42,C1 Cu39 O1 Se1,0.7833,0.8717,0.3846,0.988,1.0,0.0,0.7143,61.53,likely_active,
zenodo_10679574_Se_cont_56.cif,42,C1 Cu39 O1 Se1,0.7833,0.8728,0.3846,0.988,1.0,0.5,0.7143,71.55,likely_active,
zenodo_10679574_Se_cont_57.cif,42,C1 Cu39 O1 Se1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Se_cont_59.cif,59,C1 Cu56 O1 Se1,0.7833,0.8811,0.3036,0.9976,1.0,0.0,0.5763,59.18,uncertain,
zenodo_10679574_Se_cont_6.cif,38,C1 Cu35 O1 Se1,0.7833,0.8819,0.4857,0.9755,1.0,0.0,0.8947,64.88,likely_active,
zenodo_10679574_Se_cont_60.cif,59,C1 Cu56 O1 Se1,0.7833,0.8803,0.3036,0.9976,1.0,0.0,0.5763,59.16,uncertain,
zenodo_10679574_Se_cont_61.cif,59,C1 Cu56 O1 Se1,0.7833,0.8803,0.3036,0.9976,1.0,0.0,0.5763,59.16,uncertain,
zenodo_10679574_Se_cont_62.cif,59,C1 Cu56 O1 Se1,0.7833,0.8808,0.3036,0.9976,1.0,0.0,0.5763,59.17,uncertain,
zenodo_10679574_Se_cont_63.cif,59,C1 Cu56 O1 Se1,0.7833,0.8821,0.3036,0.9976,1.0,0.0,0.5763,59.19,uncertain,
zenodo_10679574_Se_cont_64.cif,59,C1 Cu56 O1 Se1,0.7833,0.8816,0.3036,0.9976,1.0,0.0,0.5763,59.18,uncertain,
zenodo_10679574_Se_cont_65.cif,59,C1 Cu56 O1 Se1,0.7833,0.8795,0.3036,0.9976,1.0,0.0,0.5763,59.15,uncertain,
zenodo_10679574_Se_cont_67.cif,59,C1 Cu56 O1 Se1,0.7833,0.8795,0.2857,0.9976,1.0,0.0,0.5424,58.54,uncertain,
zenodo_10679574_Se_cont_68.cif,59,C1 Cu56 O1 Se1,0.7833,0.8795,0.2857,0.9976,1.0,0.0,0.5424,58.54,uncertain,
zenodo_10679574_Se_cont_69.cif,59,C1 Cu56 O1 Se1,0.7833,0.8795,0.2857,0.9976,1.0,0.0,0.5424,58.54,uncertain,
zenodo_10679574_Se_cont_7.cif,38,C1 Cu35 O1 Se1,0.7833,0.8806,0.4571,0.9755,1.0,0.0,0.8421,63.91,likely_active,
zenodo_10679574_Se_cont_70.cif,59,C1 Cu56 O1 Se1,0.7833,0.8808,0.3036,0.9976,1.0,0.0,0.5763,59.17,uncertain,
zenodo_10679574_Se_cont_71.cif,59,C1 Cu56 O1 Se1,0.7833,0.8816,0.2857,0.9976,1.0,0.0,0.5424,58.58,uncertain,
zenodo_10679574_Se_cont_72.cif,59,C1 Cu56 O1 Se1,0.7833,0.8795,0.2857,0.9976,1.0,0.0,0.5424,58.54,uncertain,
zenodo_10679574_Se_cont_73.cif,59,C1 Cu56 O1 Se1,0.7833,0.8813,0.3036,0.9976,1.0,0.0,0.5763,59.18,uncertain,
zenodo_10679574_Se_cont_74.cif,59,C1 Cu56 O1 Se1,0.7833,0.8795,0.2857,0.9976,1.0,0.0,0.5424,58.54,uncertain,
zenodo_10679574_Se_cont_76.cif,59,C1 Cu56 O1 Se1,0.7833,0.8871,0.3214,0.9976,1.0,0.0,0.6102,59.87,uncertain,
zenodo_10679574_Se_cont_77.cif,59,C1 Cu56 O1 Se1,0.7833,0.8883,0.3571,0.9976,1.0,0.0,0.678,61.1,likely_active,
zenodo_10679574_Se_cont_78.cif,59,C1 Cu56 O1 Se1,0.7833,0.8883,0.3571,0.9976,1.0,0.0,0.678,61.1,likely_active,
zenodo_10679574_Se_cont_79.cif,59,C1 Cu56 O1 Se1,0.7833,0.8875,0.3393,0.9976,1.0,0.0,0.6441,60.48,likely_active,
zenodo_10679574_Se_cont_8.cif,38,C1 Cu35 O1 Se1,0.7833,0.8781,0.4,0.9755,1.0,0.0,0.7368,61.96,likely_active,
zenodo_10679574_Se_cont_80.cif,59,C1 Cu56 O1 Se1,0.7833,0.8879,0.3393,0.9976,1.0,0.0,0.6441,60.49,likely_active,
zenodo_10679574_Se_cont_82.cif,59,C1 Cu56 O1 Se1,0.7833,0.8844,0.2857,0.9976,1.0,0.0,0.5424,58.62,uncertain,
zenodo_10679574_Se_cont_83.cif,59,C1 Cu56 O1 Se1,0.7833,0.8862,0.3393,0.9976,1.0,0.0,0.6441,60.47,likely_active,
zenodo_10679574_Se_cont_84.cif,59,C1 Cu56 O1 Se1,0.7833,0.8862,0.3393,0.9976,1.0,0.0,0.6441,60.47,likely_active,
zenodo_10679574_Se_cont_85.cif,59,C1 Cu56 O1 Se1,0.7833,0.8856,0.3214,0.9976,1.0,0.0,0.6102,59.85,uncertain,
zenodo_10679574_Se_cont_86.cif,59,C1 Cu56 O1 Se1,0.7833,0.8851,0.3036,0.9976,1.0,0.0,0.5763,59.24,uncertain,
zenodo_10679574_Se_cont_87.cif,59,C1 Cu56 O1 Se1,0.7833,0.8854,0.3393,0.9976,1.0,0.0,0.6441,60.45,likely_active,
zenodo_10679574_Se_cont_89.cif,38,C1 Cu35 O1 Se1,0.7833,0.9035,0.5143,0.9755,1.0,0.0,0.9474,66.16,likely_active,
zenodo_10679574_Se_cont_9.cif,38,C1 Cu35 O1 Se1,0.7833,0.8781,0.4,0.9755,1.0,0.0,0.7368,61.96,likely_active,
zenodo_10679574_Se_cont_90.cif,38,C1 Cu35 O1 Se1,0.7833,0.9022,0.5143,0.9755,1.0,0.0,0.9474,66.14,likely_active,
zenodo_10679574_Se_cont_91.cif,38,C1 Cu35 O1 Se1,0.7833,0.8997,0.5143,0.9755,1.0,0.0,0.9474,66.11,likely_active,
zenodo_10679574_Se_cont_93.cif,38,C1 Cu35 O1 Se1,0.7833,0.8806,0.4857,0.9755,1.0,0.0,0.8947,64.86,likely_active,
zenodo_10679574_Se_cont_94.cif,38,C1 Cu35 O1 Se1,0.7833,0.8781,0.4286,0.9755,1.0,0.5,0.7895,72.92,likely_active,
zenodo_10679574_Se_cont_95.cif,38,C1 Cu35 O1 Se1,0.7833,0.8781,0.4286,0.9755,1.0,0.5,0.7895,72.92,likely_active,
zenodo_10679574_Se_cont_96.cif,38,C1 Cu35 O1 Se1,0.7833,0.8781,0.4286,0.9755,1.0,0.5,0.7895,72.92,likely_active,
zenodo_10679574_Se_cont_98.cif,74,C1 Cu71 O1 Se1,0.7833,0.867,0.2535,0.9769,1.0,0.0,0.4865,57.11,uncertain,
zenodo_10679574_Se_cont_99.cif,74,C1 Cu71 O1 Se1,0.7833,0.8664,0.2535,0.9769,1.0,0.0,0.4865,57.1,uncertain,
zenodo_10679574_Si_cont_100.cif,74,C1 Cu71 O1 Si1,0.7833,0.8618,0.2535,0.9769,1.0,0.0,0.4865,57.03,uncertain,
zenodo_10679574_Si_cont_101.cif,74,C1 Cu71 O1 Si1,0.7833,0.8638,0.2535,0.9769,1.0,0.0,0.4865,57.06,uncertain,
zenodo_10679574_Si_cont_18.cif,74,C1 Cu71 O1 Si1,0.7833,0.8608,0.2394,0.9769,1.0,0.0,0.4595,56.53,uncertain,
zenodo_10679574_Si_cont_19.cif,74,C1 Cu71 O1 Si1,0.7833,0.8612,0.2394,0.9769,1.0,0.5,0.4595,66.54,likely_active,
